Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H5CH2-1+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           10.7    2.76301e+12    1.96314e+14    7.65201e+16
           10.8     3.0245e+12     1.9859e+14    7.65541e+16
           10.9    3.30949e+12    2.00863e+14    7.65846e+16
             11    3.61997e+12    2.03132e+14    7.66116e+16
           11.1    3.95811e+12    2.05399e+14    7.66355e+16
           11.2    4.32622e+12    2.07663e+14    7.66565e+16
           11.3    4.72687e+12    2.09924e+14    7.66743e+16
           11.4    5.16277e+12    2.12181e+14    7.66889e+16
           11.5    5.63682e+12    2.14437e+14    7.67012e+16
           11.6    6.15227e+12    2.16688e+14    7.67101e+16
           11.7    6.71253e+12    2.18935e+14    7.67163e+16
           11.8    7.32122e+12    2.21181e+14    7.67203e+16
           11.9    7.98249e+12    2.23421e+14    7.67207e+16
             12    8.70048e+12     2.2566e+14    7.67192e+16
           12.1    9.47989e+12    2.27895e+14    7.67151e+16
           12.2    1.03258e+13    2.30125e+14     7.6708e+16
           12.3    1.12434e+13    2.32353e+14     7.6699e+16
           12.4    1.22387e+13    2.34577e+14    7.66875e+16
           12.5    1.33178e+13    2.36797e+14    7.66735e+16
           12.6    1.44875e+13    2.39013e+14    7.66574e+16
           12.7    1.57549e+13    2.41227e+14     7.6639e+16
           12.8     1.7128e+13    2.43436e+14    7.66184e+16
           12.9     1.8615e+13    2.45641e+14    7.65956e+16
             13    2.02249e+13    2.47843e+14     7.6571e+16
           13.1    2.19675e+13     2.5004e+14    7.65441e+16
           13.2    2.38531e+13    2.52234e+14    7.65152e+16
           13.3    2.58929e+13    2.54425e+14    7.64847e+16
           13.4     2.8099e+13    2.56611e+14    7.64518e+16
           13.5    3.04841e+13    2.58793e+14    7.64174e+16
