Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H5CH2-1+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
             55    2.73772e+24    7.64019e+09    1.88528e+12
           55.5    3.27526e+24    7.77653e+09     1.8787e+12
             56    3.91438e+24    7.91371e+09    1.87217e+12
           56.5    4.67353e+24    8.05172e+09    1.86571e+12
             57    5.57441e+24    8.19056e+09     1.8593e+12
           57.5    6.64247e+24    8.33023e+09    1.85296e+12
             58    7.90755e+24     8.4707e+09    1.84667e+12
           58.5    9.40463e+24    8.61198e+09    1.84043e+12
             59    1.11747e+25    8.75405e+09    1.83425e+12
           59.5    1.32655e+25    8.89691e+09    1.82813e+12
             60    1.57332e+25    9.04055e+09    1.82206e+12
           60.5    1.86431e+25    9.18496e+09    1.81604e+12
             61    2.20714e+25    9.33014e+09    1.81007e+12
           61.5    2.61071e+25    9.47608e+09    1.80415e+12
             62    3.08538e+25    9.62276e+09    1.79829e+12
           62.5    3.64322e+25    9.77019e+09    1.79247e+12
             63    4.29826e+25    9.91836e+09     1.7867e+12
           63.5     5.0668e+25    1.00672e+10    1.78098e+12
             64     5.9678e+25    1.02169e+10    1.77531e+12
           64.5    7.02324e+25    1.03672e+10    1.76969e+12
             65    8.25862e+25    1.05182e+10    1.76411e+12
           65.5    9.70352e+25      1.067e+10    1.75857e+12
             66    1.13921e+26    1.08224e+10    1.75308e+12
           66.5    1.33641e+26    1.09755e+10    1.74764e+12
             67    1.56653e+26    1.11293e+10    1.74223e+12
           67.5    1.83486e+26    1.12838e+10    1.73688e+12
             68    2.14752e+26    1.14389e+10    1.73156e+12
           68.5    2.51157e+26    1.15947e+10    1.72628e+12
             69    2.93515e+26    1.17512e+10    1.72105e+12
           69.5    3.42765e+26    1.19083e+10    1.71586e+12
             70    3.99987e+26     1.2066e+10     1.7107e+12
           70.5    4.66426e+26    1.22244e+10    1.70559e+12
             71    5.43514e+26    1.23834e+10    1.70051e+12
           71.5    6.32895e+26     1.2543e+10    1.69547e+12
             72    7.36462e+26    1.27032e+10    1.69048e+12
           72.5    8.56385e+26    1.28641e+10    1.68551e+12
             73    9.95155e+26    1.30255e+10    1.68059e+12
           73.5    1.15563e+27    1.31876e+10     1.6757e+12
             74    1.34108e+27    1.33502e+10    1.67085e+12
           74.5    1.55527e+27    1.35135e+10    1.66603e+12
             75    1.80248e+27    1.36773e+10    1.66125e+12
           75.5    2.08762e+27    1.38417e+10     1.6565e+12
             76    2.41632e+27    1.40066e+10    1.65179e+12
           76.5    2.79499e+27    1.41721e+10    1.64711e+12
             77    3.23096e+27    1.43382e+10    1.64247e+12
           77.5    3.73261e+27    1.45048e+10    1.63785e+12
             78    4.30947e+27     1.4672e+10    1.63327e+12
           78.5    4.97245e+27    1.48397e+10    1.62872e+12
             79    5.73393e+27     1.5008e+10    1.62421e+12
           79.5    6.60804e+27    1.51768e+10    1.61972e+12
             80    7.61088e+27    1.53461e+10    1.61527e+12
           80.5    8.76074e+27    1.55159e+10    1.61085e+12
             81    1.00784e+28    1.56863e+10    1.60645e+12
           81.5    1.15876e+28    1.58571e+10    1.60209e+12
             82    1.33151e+28    1.60285e+10    1.59776e+12
           82.5    1.52915e+28    1.62003e+10    1.59345e+12
             83    1.75513e+28    1.63727e+10    1.58918e+12
           83.5    2.01338e+28    1.65455e+10    1.58493e+12
             84    2.30835e+28    1.67189e+10    1.58071e+12
           84.5    2.64509e+28    1.68927e+10    1.57652e+12
             85     3.0293e+28     1.7067e+10    1.57236e+12
           85.5    3.46745e+28    1.72417e+10    1.56822e+12
             86    3.96686e+28    1.74169e+10    1.56411e+12
           86.5    4.53579e+28    1.75926e+10    1.56003e+12
             87     5.1836e+28    1.77688e+10    1.55597e+12
           87.5    5.92084e+28    1.79454e+10    1.55194e+12
             88    6.75946e+28    1.81224e+10    1.54794e+12
           88.5     7.7129e+28    1.82999e+10    1.54396e+12
             89    8.79638e+28    1.84778e+10    1.54001e+12
           89.5     1.0027e+29    1.86562e+10    1.53608e+12
             90    1.14241e+29     1.8835e+10    1.53218e+12
           90.5    1.30094e+29    1.90142e+10     1.5283e+12
             91    1.48075e+29    1.91938e+10    1.52444e+12
           91.5    1.68459e+29    1.93739e+10    1.52061e+12
             92    1.91556e+29    1.95543e+10     1.5168e+12
           92.5    2.17717e+29    1.97352e+10    1.51302e+12
             93    2.47332e+29    1.99165e+10    1.50926e+12
           93.5    2.80844e+29    2.00982e+10    1.50552e+12
             94    3.18748e+29    2.02802e+10     1.5018e+12
           94.5      3.616e+29    2.04627e+10    1.49811e+12
             95    4.10024e+29    2.06455e+10    1.49444e+12
           95.5    4.64722e+29    2.08288e+10    1.49079e+12
             96    5.26478e+29    2.10124e+10    1.48716e+12
           96.5    5.96173e+29    2.11964e+10    1.48356e+12
             97    6.74795e+29    2.13808e+10    1.47998e+12
           97.5    7.63447e+29    2.15655e+10    1.47641e+12
             98    8.63369e+29    2.17506e+10    1.47287e+12
           98.5    9.75944e+29     2.1936e+10    1.46935e+12
             99    1.10272e+30    2.21219e+10    1.46585e+12
           99.5    1.24544e+30     2.2308e+10    1.46237e+12
            100    1.40602e+30    2.24946e+10    1.45891e+12
          100.5    1.58664e+30    2.26814e+10    1.45547e+12
            101    1.78972e+30    2.28686e+10    1.45205e+12
          101.5    2.01796e+30    2.30562e+10    1.44864e+12
            102    2.27436e+30    2.32441e+10    1.44526e+12
          102.5    2.56229e+30    2.34323e+10     1.4419e+12
            103    2.88549e+30    2.36208e+10    1.43856e+12
          103.5    3.24817e+30    2.38097e+10    1.43523e+12
            104    3.65496e+30    2.39989e+10    1.43192e+12
          104.5    4.11106e+30    2.41884e+10    1.42864e+12
            105    4.62226e+30    2.43782e+10    1.42537e+12
          105.5    5.19499e+30    2.45684e+10    1.42211e+12
            106    5.83643e+30    2.47588e+10    1.41888e+12
          106.5    6.55453e+30    2.49496e+10    1.41567e+12
            107    7.35816e+30    2.51406e+10    1.41247e+12
          107.5    8.25719e+30     2.5332e+10    1.40929e+12
            108    9.26257e+30    2.55236e+10    1.40612e+12
          108.5    1.03865e+31    2.57155e+10    1.40298e+12
            109    1.16424e+31    2.59078e+10    1.39985e+12
          109.5    1.30454e+31    2.61003e+10    1.39673e+12
            110     1.4612e+31    2.62931e+10    1.39364e+12
          110.5    1.63609e+31    2.64861e+10    1.39056e+12
            111    1.83125e+31    2.66795e+10    1.38749e+12
          111.5    2.04894e+31    2.68731e+10    1.38445e+12
            112     2.2917e+31     2.7067e+10    1.38141e+12
          112.5    2.56231e+31    2.72612e+10     1.3784e+12
            113    2.86387e+31    2.74556e+10     1.3754e+12
          113.5     3.1998e+31    2.76503e+10    1.37242e+12
            114    3.57389e+31    2.78453e+10    1.36945e+12
          114.5    3.99034e+31    2.80405e+10     1.3665e+12
