T[K]		0.01		0.1		1.0		10.0		100.0
5.00e+02	3.06e-03	6.15e-04	7.89e-05	8.25e-06	8.29e-07
6.00e+02	1.48e-02	4.95e-03	9.50e-04	1.17e-04	1.21e-05
7.00e+02	3.58e-02	1.89e-02	5.70e-03	9.49e-04	1.07e-04
8.00e+02	5.25e-02	4.09e-02	1.91e-02	4.65e-03	6.34e-04
9.00e+02	5.57e-02	5.98e-02	4.16e-02	1.52e-02	2.73e-03
1.00e+03	4.84e-02	6.66e-02	6.46e-02	3.50e-02	8.76e-03
1.10e+03	3.90e-02	6.25e-02	7.78e-02	5.88e-02	2.09e-02
1.20e+03	3.14e-02	5.31e-02	8.03e-02	8.11e-02	4.08e-02
1.30e+03	2.78e-02	4.44e-02	7.39e-02	9.43e-02	6.51e-02
1.40e+03	2.38e-02	3.81e-02	6.44e-02	9.67e-02	8.75e-02
1.50e+03	2.05e-02	3.51e-02	5.78e-02	9.31e-02	1.04e-01
1.60e+03	1.63e-02	2.91e-02	4.99e-02	8.36e-02	1.11e-01
1.70e+03	1.28e-02	2.29e-02	4.13e-02	7.18e-02	1.09e-01
1.80e+03	1.20e-02	2.11e-02	3.76e-02	6.51e-02	1.03e-01
1.90e+03	9.29e-03	1.65e-02	2.94e-02	5.30e-02	9.11e-02
2.00e+03	8.67e-03	1.55e-02	2.69e-02	4.78e-02	8.20e-02
2.10e+03	7.04e-03	1.28e-02	2.20e-02	3.86e-02	6.86e-02
2.20e+03	7.35e-03	1.34e-02	2.27e-02	3.80e-02	6.45e-02
2.30e+03	6.18e-03	1.14e-02	1.94e-02	3.18e-02	5.39e-02
2.40e+03	5.58e-03	1.03e-02	1.78e-02	2.93e-02	4.79e-02
2.50e+03	4.77e-03	8.68e-03	1.51e-02	2.45e-02	4.00e-02
