name,smiles,mult
N2,N#N,1
Ne,[Ne],1
CO(1),[C-]#[O+],1
H2(2),[H][H],1
O2(3),[O][O],3
H(4),[H],2
O(5),[O],3
HO2(10),[O]O,2
CO2(12),O=C=O,1
OH(6),[OH],2
H2O(7),O,1
HCO(13),[CH]=O,2
H2O2(11),OO,1
CHO4(45),[O]OC(=O)O,2
HOCO(39),O=[C]O,2
CHO3(61),[O]C(=O)O,2
CHO2(38),[O]C=O,2
CHO4(44),[O]C(=O)OO,2
CH2O3(82),O=C(O)O,1
