5.94E+20	1.75E+05
 1750. 13
5.52E+14	69.2
1.65E+15	182
5.52E+15	513
1.65E+16	1.29E+03
5.52E+16	3.41E+03
1.65E+17	8.02E+03
5.52E+17	1.96E+04
1.65E+18	4.23E+04
5.52E+18	9.28E+04
1.65E+19	1.78E+05
5.52E+19	3.37E+05
1.65E+20	5.54E+05
5.52E+20	8.67E+05
 1875.  13
5.15E+14	142
1.54E+15	380
5.15E+15	1.10E+03
1.54E+16	2.82E+03
5.15E+16	7.72E+03
1.54E+17	1.88E+04
5.15E+17	4.81E+04
1.54E+18	1.09E+05
5.15E+18	2.53E+05
1.54E+19	5.17E+05
5.15E+19	1.05E+06
1.54E+20	1.86E+06
5.15E+20	3.17E+06
 2000. 13
4.83E+14	250
1.45E+15	680
4.83E+15	2.00E+03
1.45E+16	5.25E+03
4.83E+16	1.47E+04
1.45E+17	3.69E+04
4.83E+17	9.78E+04
1.45E+18	2.30E+05
4.83E+18	5.60E+05
1.45E+19	1.20E+06
4.83E+19	2.61E+06
1.45E+20	4.93E+06
4.83E+20	9.07E+06
 2250.  13
4.29E+14	585
1.29E+15	1.62E+03
4.29E+15	4.88E+03
1.29E+16	1.31E+04
4.29E+16	3.83E+04
1.29E+17	9.94E+04
4.29E+17	2.76E+05
1.29E+18	6.84E+05
4.29E+18	1.78E+06
1.29E+19	4.13E+06
4.29E+19	9.84E+06
1.29E+20	2.06E+07
4.29E+20	4.30E+07
 2500. 13
3.86E+14	1.07E+03
1.16E+15	3.01E+03
3.86E+15	9.20E+03
1.16E+16	2.52E+04
3.86E+16	7.49E+04
1.16E+17	1.99E+05
3.86E+17	5.70E+05
1.16E+18	1.46E+06
3.86E+18	3.96E+06
1.16E+19	9.60E+06
3.86E+19	2.43E+07
1.16E+20	5.44E+07
3.86E+20	1.24E+08

 161., -21.11, 56725.  
 55.7, -2.034, 45492.  
 0.309	433.96	6891.4	1.0e5

 161., -21.11, 56725.  ! use ln of first term and T^n not T/298^n
 55.7, -2.034, 45492.   ! use ln of first term and T^n not T/298^n
 0.309	433.96	6891.4	1e10  ! alp=exp(-a1**2) for some odd reason

 7.89e69, -21.11, 56725.
 1.48e24, -2.034, 45492.

 40.23, -1.457, 13519.
 11.176, 2.3218, 14069.
9.09E-01	427.96	6492.4	7555.2
 0.54  131. 1.0e20 1.0e-20
 600. 11
1.60801E+16	4.36E-11
4.82403E+16	1.23E-10
1.60801E+17	3.71E-10
4.82403E+17	9.83E-10
1.60801E+18	2.71E-09
4.82403E+18	6.42E-09
1.60801E+19	1.51E-08
4.82403E+19	2.96E-08
1.60801E+20	5.38E-08
4.82403E+20	8.05E-08
1.60801E+21	1.07E-07
 1000. 11
9.64805E+15	5.01E-03
2.89442E+16	1.46E-02
9.64805E+16	4.63E-02
2.89442E+17	0.13
9.64805E+17	0.394
2.89442E+18	1.05
9.64805E+18	2.9
2.89442E+19	6.91
9.64805E+19	16.4
2.89442E+20	32.6
9.64805E+20	60.2
 1250. 11
7.71844E+15	0.746
2.31553E+16	2.19
7.71844E+16	7.05
2.31553E+17	20.2
7.71844E+17	62.9
2.31553E+18	173
7.71844E+18	503
2.31553E+19	1.28E+03
7.71844E+19	3.31E+03
2.31553E+20	7.28E+03
7.71844E+20	1.55E+04
 1500.  11
6.43204E+15	15.2
1.92961E+16	45
6.43204E+16	146
1.92961E+17	424
6.43204E+17	1.34E+03
1.92961E+18	3.76E+03
6.43204E+18	1.13E+04
1.92961E+19	3.00E+04
6.43204E+19	8.25E+04
1.92961E+20	1.96E+05
6.43204E+20	4.60E+05
 1750.  11
5.51317E+15	102
1.65395E+16	303
5.51317E+16	991
1.65395E+17	2.90E+03
5.51317E+17	9.28E+03
1.65395E+18	2.65E+04
5.51317E+18	8.17E+04
1.65395E+19	2.22E+05
5.51317E+19	6.39E+05
1.65395E+20	1.60E+06
5.51317E+20	4.05E+06
 2000.  11
4.82403E+15	353
1.44721E+16	1.05E+03
4.82403E+16	3.45E+03
1.44721E+17	1.01E+04
4.82403E+17	3.28E+04
1.44721E+18	9.45E+04
4.82403E+18	2.96E+05
1.44721E+19	8.23E+05
4.82403E+19	2.44E+06
1.44721E+20	6.34E+06
4.82403E+20	1.70E+07
 2500.  11
3.85922E+15	1.45E+03
1.15777E+16	4.31E+03
3.85922E+16	1.42E+04
1.15777E+17	4.21E+04
3.85922E+17	1.38E+05
1.15777E+18	4.02E+05
3.85922E+18	1.29E+06
1.15777E+19	3.66E+06
3.85922E+19	1.13E+07
1.15777E+20	3.07E+07
3.85922E+20	8.84E+07
 300. 11
3.21602E+16	8.61E-33
9.64805E+16	2.22E-32
3.21602E+17	5.89E-32
9.64805E+17	1.33E-31
3.21602E+18	2.92E-31
9.64805E+18	5.30E-31
3.21602E+19	8.76E-31
9.64805E+19	1.20E-30
3.21602E+20	1.47E-30
9.64805E+20	1.60E-30
3.21602E+21	1.67E-30





 
 40.23, -1.457, 13519.
 11.176, 2.3218, 14069.
 0.54  131. 1.0e20 1.0e-20
 6
 400. 5
 1.      2.58e-05
 1.0e01  3.13e-05
 1.0e02  3.62e-05
 1.0e03  3.95e-05
 1.0e04  4.08e-05
 500. 5
 1.      0.248e-01
 1.0e01  0.353e-01
 1.0e02  0.487e-01
 1.0e03  0.635e-01
 1.0e04  0.736e-01
 600. 5
 1.      1.74
 1.0e01  2.84
 1.0e02  4.64
 1.0e03  7.45
 1.0e04  10.5
 700. 5
 1.      26.4
 1.0e01  48.0
 1.0e02  90.8
 1.0e03  177.
 1.0e04  311.
 850. 5
 1.      291.
 1.0e01  601.
 1.0e02  1.34e03
 1.0e03  3.30e03
 1.0e04  7.90e03
 1000. 5
 1.      1.07e03
