Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-2+OH
   P2 - C5H4CH3+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            0.1         500813              0    9.85087e+13
            0.2      1.137e+06              0    3.89628e+14
            0.3    2.17728e+06              0    7.34718e+14
            0.4    3.54806e+06              0     1.1212e+15
            0.5     5.4073e+06              0    1.50038e+15
            0.6    7.91896e+06              0    1.86966e+15
            0.7    1.11993e+07              0    2.23245e+15
            0.8    1.53167e+07              0    2.60084e+15
            0.9      2.075e+07              0    2.93281e+15
              1    2.76131e+07              0    3.25749e+15
            1.1    3.62783e+07              0    3.56486e+15
            1.2    4.70737e+07              0    3.86177e+15
            1.3    6.05759e+07              0    4.14273e+15
            1.4    7.71296e+07              0    4.42065e+15
            1.5    9.74678e+07    2.59692e+09    4.68691e+15
            1.6    1.22152e+08    6.91431e+09    4.94838e+15
            1.7    1.51729e+08    1.41478e+10    5.20981e+15
            1.8    1.87793e+08    2.49428e+10    5.44357e+15
            1.9    2.30884e+08    3.94536e+10     5.6682e+15
              2    2.82879e+08    5.77046e+10    5.87013e+15
            2.1    3.44315e+08     7.9922e+10      6.071e+15
            2.2    4.18404e+08    1.06468e+11    6.24449e+15
            2.3    5.04877e+08    1.37245e+11    6.42696e+15
            2.4    6.07768e+08    1.72185e+11    6.59152e+15
            2.5    7.27829e+08    2.12729e+11    6.75781e+15
            2.6    8.69326e+08    2.57493e+11    6.91027e+15
            2.7    1.03429e+09    3.07972e+11    7.05896e+15
            2.8    1.22887e+09     3.6289e+11    7.18728e+15
            2.9    1.45379e+09    4.23493e+11    7.31763e+15
              3    1.71683e+09    4.88643e+11    7.43419e+15
            3.1    2.02228e+09     5.5867e+11    7.54476e+15
            3.2    2.37669e+09     6.3331e+11    7.64881e+15
            3.3    2.78656e+09    7.12319e+11    7.74877e+15
            3.4    3.26077e+09     7.9564e+11    7.84246e+15
            3.5    3.80603e+09    8.83625e+11    7.93534e+15
            3.6    4.43412e+09    9.75549e+11    8.02304e+15
            3.7    5.15683e+09    1.07139e+12    8.10548e+15
            3.8    5.98608e+09    1.17104e+12    8.18446e+15
            3.9     6.9369e+09    1.27408e+12    8.25933e+15
              4    8.02788e+09    1.38007e+12    8.32811e+15
            4.1    9.27264e+09    1.48958e+12     8.3964e+15
            4.2     1.0695e+10    1.60181e+12    8.46094e+15
            4.3    1.23171e+10    1.71679e+12    8.52288e+15
            4.4    1.41653e+10     1.8343e+12    8.58221e+15
            4.5    1.62665e+10    1.95451e+12     8.6399e+15
            4.6    1.86582e+10    2.07655e+12    8.69333e+15
            4.7    2.13685e+10    2.20139e+12    8.74647e+15
            4.8    2.44451e+10    2.32803e+12    8.79607e+15
            4.9    2.79287e+10     2.4567e+12    8.84398e+15
              5    3.18716e+10    2.58724e+12    8.88965e+15
            5.1    3.63258e+10    2.71978e+12    8.93422e+15
            5.2    4.13601e+10    2.85373e+12    8.97606e+15
            5.3    4.70346e+10    2.98969e+12    9.01726e+15
            5.4    5.34324e+10    3.12685e+12    9.05644e+15
            5.5    6.06345e+10    3.26482e+12    9.09435e+15
            5.6    6.87385e+10    3.40415e+12    9.13044e+15
            5.7    7.78446e+10    3.54504e+12    9.16535e+15
            5.8    8.80783e+10    3.68703e+12    9.19802e+15
            5.9    9.95565e+10    3.83051e+12    9.22983e+15
              6    1.12427e+11    3.97523e+12     9.2602e+15
            6.1    1.26846e+11    4.12116e+12    9.28926e+15
            6.2    1.42986e+11    4.26832e+12     9.3172e+15
            6.3    1.61037e+11     4.4167e+12    9.34409e+15
            6.4    1.81218e+11    4.56608e+12    9.36955e+15
            6.5    2.03753e+11    4.71664e+12     9.3941e+15
            6.6    2.28902e+11    4.86831e+12    9.41762e+15
            6.7    2.56955e+11     5.0209e+12    9.43991e+15
            6.8    2.88215e+11    5.17458e+12    9.46132e+15
            6.9    3.23033e+11    5.32918e+12     9.4817e+15
              7    3.61788e+11    5.48465e+12    9.50102e+15
            7.1    4.04891e+11    5.64104e+12    9.51951e+15
            7.2    4.52798e+11    5.79835e+12    9.53723e+15
            7.3    5.06022e+11    5.95639e+12    9.55394e+15
            7.4    5.65103e+11     6.1153e+12    9.56993e+15
            7.5    6.30652e+11    6.27497e+12    9.58509e+15
            7.6    7.03339e+11    6.43533e+12    9.59939e+15
            7.7    7.83885e+11    6.59643e+12    9.61295e+15
            7.8    8.73083e+11    6.75828e+12    9.62587e+15
            7.9    9.71828e+11    6.92068e+12    9.63792e+15
              8    1.08105e+12    7.08382e+12    9.64942e+15
            8.1    1.20182e+12    7.24753e+12    9.66018e+15
            8.2    1.33527e+12    7.41183e+12    9.67032e+15
            8.3    1.48267e+12    7.57664e+12    9.67976e+15
            8.4    1.64535e+12    7.74211e+12    9.68871e+15
