'name','smiles','inchi','inchikey','mult','charge','canon_enant_ich'
'H2','[H][H]','InChI=1S/H2/h1H','UFHFLCQGNIYNRP-UHFFFAOYSA-N',1,0,'InChI=1S/H2/h1H'
'CH4','C','InChI=1S/CH4/h1H4','VNWKTOKETHGBQD-UHFFFAOYSA-N',1,0,'InChI=1S/CH4/h1H4'
'H2O','O','InChI=1S/H2O/h1H2','XLYOFNOQVPJJNP-UHFFFAOYSA-N',1,0,'InChI=1S/H2O/h1H2'
'HO2','[O]O','InChI=1S/HO2/c1-2/h1H','OUUQCZGPVNCOIJ-UHFFFAOYSA-N',2,0,'InChI=1S/HO2/c1-2/h1H'
'C4e2Z','C/C=C\C','InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-','IAQRGUVFOMOMEM-ARJAWSKDSA-N','1','0','InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-'
'C4e2E','C/C=C/C','InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+','IAQRGUVFOMOMEM-ONEGZZNKSA-N','1','0','InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+'
'C4y2p3R0','C[CH][C@H](C)OO','InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3/t4-/m0/s1','JNJINVVAEMWCHG-BYPYZUCNSA-N',2,0,'InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3/t4-/m0/s1'
'C4y2p3R1','C[CH][C@@H](C)OO','InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3/t4-/m1/s1','JNJINVVAEMWCHG-SCSAIBSYSA-N',2,0,'InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3/t4-/m0/s1'
