formula,smiles,mult,inchi,ATcT,ANL1,ANL0,ATcTsig
C2H5+H2O=C2H6+HO,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2O/h1H2=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/HO/h1H",,,-21.339,
CH3O+H2=CH4O+H,,2,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2/h1H=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/H",,,85.77873,
CH4O+H=CH3O+H2,,2,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/H=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2/h1H",,,84.68029,
CH3O+H2O=CH4O+OH,,2,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2O/h1H2=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/HO/h1H",,,-137.18486,
CH4O+OH=CH3O+H2O,,2,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/HO/h1H=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2O/h1H2",,,-137.932438,
C2H5+CH4=C2H6+CH3,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH4/h1H4=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/CH3/h1H3",,,141.947529,
C2H6+CH3=C2H5+CH4,,2,"InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/CH3/h1H3=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH4/h1H4",,,142.743479,
C2H5+H2=C2H6+H,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2/h1H=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/H",,,188.54676,
C2H6+H=C2H5+H2,,2,"InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/H=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2/h1H",,,188.54676,
C2H5O2=C2H4+HO2,,2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/HO2/c1-2/h1H",,,125.2700692,
C2H4O2=C2H5O2,,2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/HO2/c1-2/h1H",,,125.2700692,
CH2O+HO2=CH3O3,,2,"InChI=1S/CH2O/c1-2/h1H2+InChI=1S/HO2/c1-2/h1H=InChI=1S/CH3O3/c2-1-4-3/h3H,1H2",,,-96.0792421,
CH3O3=CH2O+HO2,,2,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2=InChI=1S/CH2O/c1-2/h1H2+InChI=1S/HO2/c1-2/h1H",,,-93.86998933,
C2H4O+H=C2H5O,,2,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2+InChI=1S/H=InChI=1S/C2H5O/c1-2-3/h2-3H,1H3",,,111.0307469,
C2H5O=C2H4O+H,,2,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3=InChI=1S/C2H4O/c1-2-3/h2-3H,1H2+InChI=1S/H",,,111.2849554,
C2H4O+OH=C2H5O2,,2,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2+InChI=1S/HO/h1H=InChI=1S/C2H5O2/c3-1-2-4/h1,3-4H,2H2",,,-84.2234221,
C2H5O2=C2H4O+OH,,2,"InChI=1S/C2H5O2/c3-1-2-4/h1,3-4H,2H2=InChI=1S/C2H4O/c1-2-3/h2-3H,1H2+InChI=1S/HO/h1H",,,-82.19131523,
C2H4+HO2=C2H5O2,,2,"InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/HO2/c1-2/h1H=InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",,,132.1763549,
C2H5O2=C2H4+HO2,,2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/HO2/c1-2/h1H",,,135.6451828,
CH3O+CH2O=C2H5O2,,2,"InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/CH2O/c1-2/h1H2=InChI=1S/C2H5O2/c1-4-2-3/h3H,1-2H2",,,-59.65205827,
C2H5O2=CH3O+CH2O,,2,"InChI=1S/C2H5O2/c1-4-2-3/h3H,1-2H2=InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/CH2O/c1-2/h1H2",,,-58.46908901,
CH3O+CH2O=C2H5O2b,,2,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/CH2O/c1-2/h1H2=InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3",,,45.81691995,
C2H5O2=CH3O+CH2Ob,,2,"InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/CH2O/c1-2/h1H2",,,46.1393125,
CH3O+CH2O=C2H5O2c,,2,"InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/CH2O/c1-2/h1H2=InChI=1S/C2H5O2/c3-1-2-4/h3H,1-2H2",,,-104.4633355,
C2H5O2=CH3O+CH2Oc,,2,"InChI=1S/C2H5O2/c3-1-2-4/h3H,1-2H2=InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/CH2O/c1-2/h1H2",,,-103.84663818,
C3H7=C3H6+H,,2,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/H",,,260.53123,
C3H6+H=C3H7,,2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/H=InChI=1S/C3H7/c1-3-2/h3H,1-2H3",,,260.49755,
C3H6+OH=C3H7O,,2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H=InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3",,,68.94937614,
#C3H7O=C3H6+OH,,2,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H",,,70.76096404,
C3H7O=CH3CHCH2+OH,,2,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H",,,70.7609640,
C2H4O+CH3=C3H7O,,2,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2+InChI=1S/CH3/h1H3=InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3",,,72.66187114,
C3H7O=C2H4O+CH3,,2,"InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3=InChI=1S/C2H4O/c1-2-3/h2-3H,1H2+InChI=1S/CH3/h1H3",,,72.82914285,
C2H4O+CH3=C3H7Ob,,2,"InChI=1S/C2H4O/c1-2-3/h2H,1H3+InChI=1S/CH3/h1H3=InChI=1S/C3H7O/c1-3-4-2/h3H,1-2H3",,,82.84617901,
C3H7Ob=C2H4O+CH3,,2,"InChI=1S/C3H7O/c1-3-4-2/h3H,1-2H3=InChI=1S/C2H4O/c1-2-3/h2H,1H3+InChI=1S/CH3/h1H3",,,82.36364582,
C2H4+CH3O=C3H7O,,2,"InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/CH3O/c1-2/h1H3=InChI=1S/C3H7O/c1-3-4-2/h1,3H2,2H3",,,116.3514673,
C3H7O=C2H4+CH3O,,2,"InChI=1S/C3H7O/c1-3-4-2/h1,3H2,2H3=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/CH3O/c1-2/h1H3",,,117.9334189,
C2H4+CH3O=C3H7Ob,,2,"InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/CH3O/c1-2/h2H,1H2=InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2",,,82.2085918,
C3H7Ob=C2H4+CH3O,,2,"InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/CH3O/c1-2/h2H,1H2",,,83.83382016,
C2H5+CH2O=C3H7O,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH2O/c1-2/h1H2=InChI=1S/C3H7O/c1-3-4-2/h2-3H2,1H3",,,90.77520084,
C3H7O=C2H5+CH2O,,2,"InChI=1S/C3H7O/c1-3-4-2/h2-3H2,1H3=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH2O/c1-2/h1H2",,,89.85066362,
C2H5+CH2O=C3H7Ob,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH2O/c1-2/h1H2=InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3",,,46.70944087,
C3H7Ob=C2H5+CH2O,,2,"InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH2O/c1-2/h1H2",,,47.02525965,
C4H9=C3H6+CH3,,2,"InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/CH3/h1H3",,,219.406126,
C3H6+CH3=C4H9,,2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/CH3/h1H3=InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3",,,219.459378,
C2H5+C2H4=C4H9,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/C2H4/c1-2/h1-2H2=InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3",,,224.3384279,
C4H9=C2H5+C2H4,,2,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/C2H4/c1-2/h1-2H2",,,225.6627773,
C3H7O2=C3H6+HO2,,2,"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO2/c1-2/h1H",,,90.674235020,
C3H7O2=C3H6+HO2,,2,"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO2/c1-2/h1H",,,110.6528149,
HO2+H=O2+H2,,3,"InChI=1S/HO2/c1-2/h1H+InChI=1S/H=InChI=1S/O2/c1-2+InChI=1S/H2/h1H",,,236.2089952,
O2+H2=HO2+H,,3,"InChI=1S/O2/c1-2+InChI=1S/H2/h1H=InChI=1S/HO2/c1-2/h1H+InChI=1S/H",,,236.2089952,
CH3+HO2=CH4+O2,,3,"InChI=1S/CH3/h1H3+InChI=1S/HO2/c1-2/h1H=InChI=1S/CH4/h1H4+InChI=1S/O2/c1-2",,,159.8379558,
CH4+O2=CH3+HO2,,3,"InChI=1S/CH4/h1H4+InChI=1S/O2/c1-2=InChI=1S/CH3/h1H3+InChI=1S/HO2/c1-2/h1H",,,159.8379559,
C2H5+HO2=C2H6+O2,,3,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/HO2/c1-2/h1H=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/O2/c1-2",,,133.5870687,
CH4+O2=CH3+HO2,,3,"InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/O2/c1-2=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/HO2/c1-2/h1H",,,133.587069,
CH2OH+HO2=CH4O+O2,,3,"InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/HO2/c1-2/h1H=InChI=1S/CH4O/c1-2/h2H1,H3+InChI=1S/O2/c1-2",,,-13.69513002,
CH4O+O2=CH2OH+HO2,,3,"InChI=1S/CH4O/c1-2/h2H1,H3+InChI=1S/O2/c1-2=InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/HO2/c1-2/h1H",,,-13.69513002,
CH3O+HO2=CH4O+O2,,3,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/HO2/c1-2/h1H=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/O2/c1-2",,,20.48343692,
CH3O+HO2=CH4O+O2,,3,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/O2/c1-2=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/HO2/c1-2/h1H",,,20.48343692,
HO2+OH=O2+H2O,,3,"InChI=1S/HO2/c1-2/h1H+InChI=1S/HO/h1H=InChI=1S/O2/c1-2+InChI=1S/H2O/h1H2",,,46.81824534,
O2+H2O=HO2+OH,,3,"InChI=1S/O2/c1-2+InChI=1S/H2O/h1H2=InChI=1S/HO2/c1-2/h1H+InChI=1S/HO/h1H",,,46.81824534.
CH3CHCH2+OH=C3H7O,,2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H=InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3",,,68.94937614,
CH2O+CH3=C2H5O,,2,"InChI=1S/CH2O/c1-2/h1H2+InChI=1S/CH3/h1H3=InChI=1S/C2H5O/c1-2-3/h2H2,1H3",,,70.73052,
CH4O+OH=CH2OH+H2O,,2,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/HO/h1H=InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/H2O/h1H2",,,-150.3746629,
CH2OH+H2O=CH4O+OH,,2,"InChI=1S/CH3O/c1-2/h2H,1H2+InChI=1S/H2O/h1H2=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/HO/h1H",,,-150.3746629
C2H3+HO2=C2H4+O2,,2,"InChI=1S/C2H3/c1-2/h1H,2H2+InChI=1S/HO2/c1-2/h1H=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/O2/c1-2",,,300.4752529,
C2H4+O2=C2H3+HO2,,2,"InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/O2/c1-2=InChI=1S/C2H3/c1-2/h1H,2H2+InChI=1S/HO2/c1-2/h1H",,,300.4752529,
C3H70d=C3H6+HO,,2,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3/t3-/m0/s1=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H",,,65.2830411912,
C3H6+OH=C3H7Odr,,2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H=InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3/t3-/m0/s1",,,65.2830411912,
C3H70e=C3H6+HO,,2,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3/t3-/m1/s1=InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H",,,65.2830411912,
C3H6+HO=C3H70er,,2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3+InChI=1S/HO/h1H=InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3/t3-/m1/s1",,,65.2830411912,
