Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H4CH3+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           55.5    3.88937e+26    1.07605e+08    1.56614e+10
             56    4.67491e+26    1.08652e+08    1.55191e+10
           56.5    5.61323e+26    1.09695e+08    1.53791e+10
             57    6.73296e+26    1.10733e+08    1.52412e+10
           57.5    8.06785e+26    1.11767e+08    1.51055e+10
             58    9.65771e+26    1.12797e+08    1.49719e+10
           58.5    1.15494e+27    1.13823e+08    1.48403e+10
             59    1.37982e+27    1.14845e+08    1.47107e+10
           59.5    1.64689e+27    1.15862e+08    1.45831e+10
             60    1.96378e+27    1.16875e+08    1.44574e+10
           60.5    2.33944e+27    1.17884e+08    1.43335e+10
             61    2.78437e+27    1.18889e+08    1.42115e+10
           61.5    3.31089e+27     1.1989e+08    1.40913e+10
             62    3.93339e+27    1.20886e+08    1.39729e+10
           62.5    4.66874e+27    1.21878e+08    1.38561e+10
             63    5.53666e+27    1.22866e+08    1.37411e+10
           63.5    6.56017e+27     1.2385e+08    1.36276e+10
             64    7.76618e+27    1.24829e+08    1.35158e+10
           64.5    9.18603e+27    1.25805e+08    1.34056e+10
             65    1.08563e+28    1.26776e+08    1.32969e+10
           65.5    1.28195e+28    1.27743e+08    1.31897e+10
             66    1.51253e+28    1.28706e+08     1.3084e+10
           66.5    1.78312e+28    1.29664e+08    1.29797e+10
             67    2.10042e+28    1.30619e+08    1.28769e+10
           67.5    2.47221e+28    1.31569e+08    1.27754e+10
             68    2.90751e+28    1.32515e+08    1.26753e+10
           68.5    3.41678e+28    1.33457e+08    1.25766e+10
             69    4.01216e+28    1.34395e+08    1.24791e+10
           69.5    4.70769e+28    1.35329e+08     1.2383e+10
             70    5.51961e+28    1.36258e+08    1.22881e+10
           70.5    6.46672e+28    1.37184e+08    1.21945e+10
             71    7.57073e+28    1.38105e+08     1.2102e+10
           71.5    8.85675e+28    1.39022e+08    1.20108e+10
             72    1.03537e+29    1.39935e+08    1.19207e+10
           72.5     1.2095e+29    1.40844e+08    1.18318e+10
