 1.0e-10 1.0e-10 
 1 1 1 1 1 1 
 1 
   8.1e-11, -0.01, 2000.0
 21   21 
500	1.378150410638410E+08
600	1.297836416161970E+09
700	6.769080072288560E+09
800	2.425098083508950E+10
900	6.735608561972120E+10
1000	1.560888894758010E+11
1100	3.164069841563090E+11
1200	5.792159567474590E+11
1300	9.791388652530330E+11
1400	1.553294914048580E+12
1500	2.340215195297280E+12
1600	3.378946826539680E+12
1700	4.708351078718470E+12
1800	6.366577818492750E+12
1900	8.390689299332350E+12
2000	1.081640479955560E+13
2100	1.367793986577610E+13
2200	1.700791768884750E+13
2300	2.083733419920020E+13
2400	2.519556223651740E+13
2500	3.011038339418150E+13
