name,smiles,mult
H,[H],2
H2,[H][H],1
O,[O],3
O2,[O][O],3
OH,[OH],2
H2O,O,1
N2,N#N,1
HO2,[O]O,2
H2O2,OO,1
AR,[Ar],1
CO,[C-]#[O+],1
CO2,O=C=O,1
HE,[He],1
HCO,[CH]=O,2

