'name','smiles','inchi','mult','charge'
'AC3H5OCH2','[CH2]OCC=C','InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2',2,0
'C2H','C#[C]','InChI=1S/C2H/c1-2/h1H',2,0
'C2H2','C#C','InChI=1S/C2H2/c1-2/h1-2H',1,0
'C2H2OH','OC=[CH]','InChI=1S/C2H3O/c1-2-3/h1-3H',2,0
'C2H3','C=[CH]','InChI=1S/C2H3/c1-2/h1H,2H2',2,0
'C2H3CHO','C=CC=O','InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2',1,0
'C2H3CHOCH2','C=CC1CO1','InChI=1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2',1,0
'C2H3CO','C=C[C]=O','InChI=1S/C3H3O/c1-2-3-4/h2H,1H2',2,0
'C2H3COCH3','CC(=O)C=C','InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3',1,0
'C2H3O1-2','O1[CH]C1','InChI=1S/C2H3O/c1-2-3-1/h1H,2H2',2,0
'C2H3OH','OC=C','InChI=1S/C2H4O/c1-2-3/h2-3H,1H2',1,0
'C2H3OO','[O]OC=C','InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2',2,0
'C2H3OOH','OOC=C','InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2',1,0
'C2H4','C=C','InChI=1S/C2H4/c1-2/h1-2H2',1,0
'C2H4COCH2OH','C[CH]C(=O)CO','InChI=1S/C4H7O2/c1-2-4(6)3-5/h2,5H,3H2,1H3',2,0
'C2H4O1-2','O1CC1','InChI=1S/C2H4O/c1-2-3-1/h1-2H2',1,0
'C2H4O2H','[CH2]COO','InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2',2,0
'C2H5','C[CH2]','InChI=1S/C2H5/c1-2/h1H2,2H3',2,0
'C2H5CHCO','CCC=C=O','InChI=1S/C4H6O/c1-2-3-4-5/h3H,2H2,1H3',1,0
'C2H5CHO','CCC=O','InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3',1,0
'C2H5CHOHCO','CCC([C]=O)O','InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3',2,0
'C2H5CO','CC[C]=O','InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3',2,0
'C2H5COCH2','CCC(=O)[CH2]','InChI=1S/C4H7O/c1-3-4(2)5/h2-3H2,1H3',2,0
'C2H5COCH3','CCC(=O)C','InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3',1,0
'C2H5O','CC[O]','InChI=1S/C2H5O/c1-2-3/h2H2,1H3',2,0
'C2H5O2','CCO[O]','InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3',2,0
'C2H5O2H','CCOO','InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3',1,0
'C2H5OH','CCO','InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3',1,0
'C2H6','CC','InChI=1S/C2H6/c1-2/h1-2H3',1,0
'C3H3','[CH2]C#C','InChI=1S/C3H3/c1-3-2/h1H,2H2',2,0
'C3H4-A','C=C=C','InChI=1S/C3H4/c1-3-2/h1-2H2',1,0
'C3H4-P','CC#C','InChI=1S/C3H4/c1-3-2/h1H,2H3',1,0
'C3H5-A','[CH2]C=C','InChI=1S/C3H5/c1-3-2/h3H,1-2H2',2,0
'C3H5-S','CC=[CH]','InChI=1S/C3H5/c1-3-2/h1,3H,2H3',2,0
'C3H5-T','C[C]=C','InChI=1S/C3H5/c1-3-2/h1H2,2H3',2,0
'C3H5O','[O]CC=C','InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2',2,0
'C3H5O1-2OOH-3','OOCC1CO1','InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2',1,0
'C3H5O1-3OOH-2','OOC1COC1','InChI=1S/C3H6O3/c4-6-3-1-5-2-3/h3-4H,1-2H2',1,0
'C3H5OH','OCC=C','InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2',1,0
'C3H6','CC=C','InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3',1,0
'C3H6CHO-1','[CH2]CCC=O','InChI=1S/C4H7O/c1-2-3-4-5/h4H,1-3H2',2,0
'C3H6CHO-2','C[CH]CC=O','InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3',2,0
'C3H6O1-2','CC1CO1','InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3',1,0
'C3H6O1-3','C1CCO1','InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2',1,0
'C3H6OH1-1','CC[CH]O','InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3',2,0
'C3H6OH1-2','C[CH]CO','InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3',2,0
'C3H6OH2-1','CC(O)[CH2]','InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3',2,0
'C3H6OOH1-2','C[CH]COO','InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3',2,0
'C3H6OOH1-3','[CH2]CCOO','InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2',2,0
'C3H6OOH2-1','OOC([CH2])C','InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3',2,0
'C3H8','CCC','InChI=1S/C3H8/c1-3-2/h3H2,1-2H3',1,0
'C3KET12','CC(C=O)OO','InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3',1,0
'C3KET13','OOCCC=O','InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2',1,0
'C3KET21','CC(=O)COO','InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3',1,0
'C4H10','CCCC','InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3',1,0
'C4H3-N','[CH]=CC#C','InChI=1S/C4H3/c1-3-4-2/h1-3H',2,0
'C4H4','C=CC#C','InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2',1,0
'C4H5-2','CC#C[CH2]','InChI=1S/C4H5/c1-3-4-2/h1H2,2H3',2,0
'C4H5-I','C=[C]C=C','InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2',2,0
'C4H5-N','C=CC=[CH]','InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2',2,0
'C4H5OH-13','OC=CC=C','InChI=1S/C4H6O/c1-2-3-4-5/h2-5H,1H2',1,0
'C4H6','C=CC=C','InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2',1,0
'C4H612','CC=C=C','InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3',1,0
'C4H6O1-3OOH4','[O]C(C=C)COO','InChI=1S/C4H7O3/c1-2-4(5)3-7-6/h2,4,6H,1,3H2',2,0
'C4H6O23','C1CC=CO1','InChI=1S/C4H6O/c1-2-4-5-3-1/h1,3H,2,4H2',1,0
'C4H6OHOOH1-2-3','OOC(C(=C)O)C','InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4-6H,1H2,2H3',1,0
'C4H6OHOOH1-4-3','OCC(C=C)OO','InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h2,4-6H,1,3H2',1,0
'C4H71-1','CCC=[CH]','InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3',2,0
'C4H71-3','C[CH]C=C','InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3',2,0
'C4H71-3,4OOH','OOCC(OO)C[CH2]','InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-6H,1-3H2',2,0
'C4H71-3OOH','CC(C=C)OO','InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3',1,0
'C4H71-4','[CH2]CC=C','InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2',2,0
'C4H71-4O2','[O]OCCC=C','InChI=1S/C4H7O2/c1-2-3-4-6-5/h2H,1,3-4H2',2,0
'C4H71-4OOH','OOCCC=C','InChI=1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2',1,0
'C4H71-O','CC(C=C)[O]','InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3',2,0
'C4H72-2','C[C]=CC','InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3',2,0
'C4H7O1-4','[O]CCC=C','InChI=1S/C4H7O/c1-2-3-4-5/h2H,1,3-4H2',2,0
'C4H7O2-1','CC=CC[O]','InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3',2,0
'C4H7O2-1,3OOH','OOCC(C(OO)C)[O]','InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-4,6-7H,2H2,1H3',2,0
'C4H8-1','CCC=C','InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3',1,0
'C4H8-2','CC=CC','InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3',1,0
'C4H8OOH1-3','C[CH]CCOO','InChI=1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3',2,0
'C4H8OOH2-4','CC(OO)C[CH2]','InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3',2,0
'C6H101-3,3','CC=C(C=C)C','InChI=1S/C6H10/c1-4-6(3)5-2/h4-5H,1H2,2-3H3',1,0
'C8H131-5,3-4,TA','C=C[C](C(C=C)C)C','InChI=1S/C8H13/c1-5-7(3)8(4)6-2/h5-7H,1-2H2,3-4H3',2,0
'CC3H6','C1CC1','InChI=1S/C3H6/c1-2-3-1/h1-3H2',1,0
'CCY(COCC)OH','OC1COC1C','InChI=1S/C4H8O2/c1-3-4(5)2-6-3/h3-5H,2H2,1H3',1,0
'CH','[CH]','InChI=1S/CH/h1H',2,0
'CH2','[CH2]','InChI=1S/CH2/h1H2',3,0
'CH2(S)','[CH2]','InChI=1S/CH2/h1H2',1,0
