Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H4CH3+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           10.9     2.6029e+12    9.52684e+13    7.41394e+16
             11    2.85027e+12    9.66326e+13    7.41773e+16
           11.1    3.11997e+12    9.79973e+13    7.42115e+16
           11.2    3.41389e+12    9.93628e+13    7.42424e+16
           11.3    3.73407e+12     1.0073e+14    7.42706e+16
           11.4    4.08279e+12    1.02097e+14    7.42952e+16
           11.5    4.46243e+12    1.03464e+14    7.43168e+16
           11.6    4.87557e+12    1.04833e+14    7.43358e+16
           11.7    5.32507e+12    1.06202e+14    7.43515e+16
           11.8    5.81394e+12    1.07571e+14    7.43645e+16
           11.9    6.34544e+12    1.08941e+14    7.43749e+16
             12    6.92316e+12    1.10311e+14    7.43822e+16
           12.1    7.55085e+12    1.11681e+14    7.43872e+16
           12.2    8.23266e+12    1.13051e+14    7.43894e+16
           12.3    8.97302e+12    1.14421e+14     7.4389e+16
           12.4    9.77668e+12    1.15791e+14    7.43863e+16
           12.5    1.06489e+13    1.17161e+14     7.4381e+16
           12.6     1.1595e+13    1.18531e+14    7.43735e+16
           12.7    1.26212e+13    1.19901e+14    7.43634e+16
           12.8    1.37338e+13     1.2127e+14    7.43513e+16
           12.9    1.49397e+13     1.2264e+14    7.43369e+16
             13    1.62465e+13    1.24008e+14    7.43201e+16
           13.1    1.76621e+13    1.25377e+14    7.43016e+16
           13.2    1.91951e+13    1.26745e+14    7.42807e+16
           13.3    2.08549e+13    1.28112e+14    7.42579e+16
           13.4    2.26514e+13    1.29479e+14    7.42331e+16
           13.5    2.45953e+13    1.30845e+14    7.42062e+16
           13.6    2.66982e+13     1.3221e+14    7.41777e+16
           13.7    2.89724e+13    1.33575e+14     7.4147e+16
           13.8    3.14312e+13    1.34939e+14    7.41147e+16
           13.9     3.4089e+13    1.36302e+14    7.40806e+16
             14     3.6961e+13    1.37664e+14    7.40446e+16
           14.1    4.00637e+13    1.39025e+14    7.40072e+16
           14.2    4.34148e+13    1.40385e+14    7.39678e+16
           14.3    4.70332e+13    1.41744e+14     7.3927e+16
           14.4    5.09392e+13    1.43103e+14    7.38846e+16
           14.5    5.51548e+13     1.4446e+14    7.38405e+16
           14.6     5.9703e+13    1.45816e+14     7.3795e+16
           14.7    6.46093e+13     1.4717e+14    7.37479e+16
           14.8    6.99002e+13    1.48524e+14    7.36995e+16
           14.9    7.56047e+13    1.49877e+14    7.36496e+16
             15    8.17536e+13    1.51228e+14    7.35982e+16
           15.1    8.83798e+13    1.52577e+14    7.35456e+16
           15.2    9.55189e+13    1.53926e+14    7.34916e+16
           15.3    1.03209e+14    1.55273e+14    7.34363e+16
           15.4    1.11489e+14    1.56619e+14    7.33797e+16
           15.5    1.20405e+14    1.57963e+14    7.33219e+16
           15.6    1.30001e+14    1.59306e+14    7.32629e+16
           15.7    1.40328e+14    1.60647e+14    7.32026e+16
           15.8    1.51439e+14    1.61986e+14    7.31412e+16
           15.9     1.6339e+14    1.63325e+14    7.30787e+16
             16    1.76243e+14    1.64661e+14     7.3015e+16
           16.1    1.90062e+14    1.65996e+14    7.29503e+16
           16.2    2.04916e+14    1.67329e+14    7.28845e+16
           16.3     2.2088e+14    1.68661e+14    7.28177e+16
           16.4    2.38033e+14    1.69991e+14    7.27498e+16
           16.5     2.5646e+14    1.71319e+14    7.26809e+16
           16.6    2.76251e+14    1.72645e+14    7.26111e+16
           16.7    2.97502e+14     1.7397e+14    7.25403e+16
           16.8    3.20316e+14    1.75293e+14    7.24687e+16
           16.9    3.44804e+14    1.76614e+14    7.23961e+16
             17    3.71083e+14    1.77933e+14    7.23226e+16
           17.1    3.99278e+14    1.79251e+14    7.22482e+16
           17.2    4.29522e+14    1.80566e+14     7.2173e+16
           17.3    4.61958e+14     1.8188e+14     7.2097e+16
           17.4    4.96738e+14    1.83192e+14    7.20202e+16
           17.5    5.34024e+14    1.84501e+14    7.19426e+16
           17.6    5.73989e+14    1.85809e+14    7.18642e+16
           17.7    6.16816e+14    1.87115e+14    7.17851e+16
           17.8    6.62703e+14    1.88419e+14    7.17052e+16
           17.9    7.11857e+14    1.89721e+14    7.16246e+16
             18    7.64502e+14     1.9102e+14    7.15434e+16
           18.1    8.20875e+14    1.92318e+14    7.14614e+16
           18.2    8.81228e+14    1.93614e+14    7.13788e+16
           18.3    9.45831e+14    1.94907e+14    7.12955e+16
           18.4    1.01497e+15    1.96199e+14    7.12116e+16
           18.5    1.08895e+15    1.97488e+14    7.11271e+16
           18.6    1.16809e+15    1.98776e+14     7.1042e+16
           18.7    1.25275e+15    2.00061e+14    7.09563e+16
           18.8    1.34328e+15    2.01344e+14      7.087e+16
           18.9    1.44009e+15    2.02625e+14    7.07832e+16
             19    1.54357e+15    2.03903e+14    7.06958e+16
           19.1    1.65419e+15     2.0518e+14    7.06079e+16
           19.2     1.7724e+15    2.06454e+14    7.05194e+16
           19.3     1.8987e+15    2.07726e+14    7.04305e+16
           19.4    2.03364e+15    2.08996e+14    7.03411e+16
           19.5    2.17776e+15    2.10264e+14    7.02512e+16
           19.6    2.33168e+15    2.11529e+14    7.01608e+16
           19.7    2.49603e+15    2.12792e+14      7.007e+16
           19.8    2.67148e+15    2.14053e+14    6.99787e+16
           19.9    2.85876e+15    2.15312e+14    6.98871e+16
             20    3.05863e+15    2.16568e+14    6.97949e+16
           20.1    3.27191e+15    2.17822e+14    6.97024e+16
           20.2    3.49944e+15    2.19074e+14    6.96095e+16
           20.3    3.74215e+15    2.20323e+14    6.95162e+16
           20.4    4.00101e+15     2.2157e+14    6.94226e+16
           20.5    4.27705e+15    2.22815e+14    6.93285e+16
           20.6    4.57136e+15    2.24057e+14    6.92342e+16
           20.7     4.8851e+15    2.25297e+14    6.91394e+16
           20.8    5.21949e+15    2.26535e+14    6.90444e+16
           20.9    5.57585e+15     2.2777e+14     6.8949e+16
             21    5.95556e+15    2.29003e+14    6.88533e+16
           21.1    6.36009e+15    2.30234e+14    6.87573e+16
           21.2    6.79099e+15    2.31462e+14    6.86611e+16
           21.3     7.2499e+15    2.32688e+14    6.85645e+16
           21.4    7.73859e+15    2.33911e+14    6.84676e+16
           21.5    8.25889e+15    2.35132e+14    6.83705e+16
           21.6    8.81278e+15    2.36351e+14    6.82731e+16
           21.7    9.40233e+15    2.37567e+14    6.81755e+16
           21.8    1.00298e+16    2.38781e+14    6.80777e+16
           21.9    1.06974e+16    2.39993e+14    6.79796e+16
             22    1.14077e+16    2.41202e+14    6.78812e+16
           22.1    1.21632e+16    2.42408e+14    6.77827e+16
           22.2    1.29669e+16    2.43612e+14    6.76839e+16
           22.3    1.38215e+16    2.44814e+14     6.7585e+16
           22.4    1.47303e+16    2.46013e+14    6.74858e+16
           22.5    1.56964e+16     2.4721e+14    6.73865e+16
           22.6    1.67234e+16    2.48404e+14     6.7287e+16
           22.7     1.7815e+16    2.49596e+14    6.71873e+16
           22.8     1.8975e+16    2.50786e+14    6.70874e+16
           22.9    2.02076e+16    2.51973e+14    6.69874e+16
             23    2.15171e+16    2.53157e+14    6.68872e+16
           23.1    2.29081e+16    2.54339e+14    6.67869e+16
           23.2    2.43856e+16    2.55519e+14    6.66864e+16
           23.3    2.59546e+16    2.56696e+14    6.65858e+16
           23.4    2.76207e+16    2.57871e+14    6.64851e+16
           23.5    2.93896e+16    2.59043e+14    6.63842e+16
           23.6    3.12673e+16    2.60213e+14    6.62833e+16
           23.7    3.32603e+16     2.6138e+14    6.61822e+16
           23.8    3.53755e+16    2.62545e+14     6.6081e+16
           23.9      3.762e+16    2.63707e+14    6.59797e+16
             24    4.00013e+16    2.64867e+14    6.58783e+16
           24.1    4.25276e+16    2.66024e+14    6.57769e+16
           24.2    4.52073e+16    2.67179e+14    6.56753e+16
           24.3    4.80494e+16    2.68332e+14    6.55737e+16
           24.4    5.10633e+16    2.69481e+14     6.5472e+16
           24.5    5.42589e+16    2.70629e+14    6.53702e+16
           24.6    5.76469e+16    2.71774e+14    6.52684e+16
           24.7    6.12383e+16    2.72916e+14    6.51665e+16
           24.8    6.50449e+16    2.74056e+14    6.50646e+16
           24.9    6.90792e+16    2.75194e+14    6.49626e+16
             25     7.3354e+16    2.76329e+14    6.48605e+16
           25.1    7.78834e+16    2.77461e+14    6.47584e+16
           25.2    8.26818e+16    2.78591e+14    6.46563e+16
           25.3    8.77646e+16    2.79719e+14    6.45542e+16
           25.4     9.3148e+16    2.80844e+14     6.4452e+16
           25.5    9.88491e+16    2.81967e+14    6.43498e+16
           25.6    1.04886e+17    2.83087e+14    6.42476e+16
           25.7    1.11278e+17    2.84205e+14    6.41454e+16
           25.8    1.18044e+17     2.8532e+14    6.40431e+16
           25.9    1.25206e+17    2.86432e+14    6.39409e+16
             26    1.32787e+17    2.87543e+14    6.38386e+16
           26.1    1.40809e+17     2.8865e+14    6.37364e+16
           26.2    1.49298e+17    2.89756e+14    6.36341e+16
           26.3    1.58279e+17    2.90858e+14    6.35319e+16
           26.4     1.6778e+17    2.91959e+14    6.34297e+16
           26.5     1.7783e+17    2.93057e+14    6.33274e+16
           26.6     1.8846e+17    2.94152e+14    6.32252e+16
           26.7    1.99701e+17    2.95245e+14    6.31231e+16
           26.8    2.11588e+17    2.96335e+14    6.30209e+16
           26.9    2.24156e+17    2.97423e+14    6.29188e+16
             27    2.37443e+17    2.98509e+14    6.28167e+16
           27.1    2.51488e+17    2.99592e+14    6.27146e+16
           27.2    2.66334e+17    3.00672e+14    6.26126e+16
           27.3    2.82022e+17    3.01751e+14    6.25106e+16
           27.4    2.98601e+17    3.02826e+14    6.24087e+16
           27.5    3.16119e+17    3.03899e+14    6.23068e+16
           27.6    3.34626e+17     3.0497e+14     6.2205e+16
           27.7    3.54177e+17    3.06039e+14    6.21032e+16
           27.8    3.74827e+17    3.07104e+14    6.20014e+16
           27.9    3.96638e+17    3.08168e+14    6.18997e+16
             28    4.19671e+17    3.09229e+14    6.17981e+16
           28.1    4.43992e+17    3.10287e+14    6.16966e+16
           28.2    4.69671e+17    3.11344e+14     6.1595e+16
           28.3    4.96781e+17    3.12397e+14    6.14936e+16
           28.4    5.25398e+17    3.13449e+14    6.13922e+16
           28.5    5.55604e+17    3.14497e+14     6.1291e+16
           28.6    5.87483e+17    3.15544e+14    6.11897e+16
           28.7    6.21123e+17     3.1654e+14    6.10886e+16
           28.8     6.5662e+17    3.17526e+14    6.09875e+16
           28.9    6.94072e+17    3.18509e+14    6.08865e+16
             29    7.33582e+17     3.1949e+14    6.07856e+16
           29.1     7.7526e+17    3.20469e+14    6.06848e+16
           29.2    8.19219e+17    3.21445e+14    6.05841e+16
           29.3    8.65581e+17    3.22419e+14    6.04834e+16
           29.4    9.14471e+17     3.2339e+14    6.03829e+16
           29.5    9.66023e+17     3.2436e+14    6.02824e+16
           29.6    1.02038e+18    3.25326e+14     6.0182e+16
           29.7    1.07768e+18    3.26291e+14    6.00817e+16
           29.8    1.13808e+18    3.27253e+14    5.99816e+16
           29.9    1.20174e+18    3.28213e+14    5.98815e+16
             30    1.26884e+18     3.2917e+14    5.97815e+16
           30.1    1.33955e+18    3.30126e+14    5.96816e+16
           30.2    1.41406e+18    3.31078e+14    5.95818e+16
           30.3    1.49257e+18    3.32029e+14    5.94822e+16
           30.4    1.57527e+18    3.32977e+14    5.93826e+16
           30.5     1.6624e+18    3.33923e+14    5.92832e+16
           30.6    1.75417e+18    3.34867e+14    5.91838e+16
           30.7    1.85083e+18    3.35808e+14    5.90846e+16
           30.8    1.95262e+18    3.36747e+14    5.89855e+16
           30.9    2.05981e+18    3.37684e+14    5.88865e+16
             31    2.17268e+18    3.38618e+14    5.87876e+16
           31.1    2.29151e+18    3.39551e+14    5.86888e+16
           31.2     2.4166e+18    3.40481e+14    5.85902e+16
           31.3    2.54829e+18    3.41408e+14    5.84917e+16
           31.4    2.68689e+18    3.42334e+14    5.83933e+16
           31.5    2.83277e+18    3.43257e+14     5.8295e+16
           31.6    2.98628e+18    3.44178e+14    5.81968e+16
           31.7    3.14782e+18    3.45096e+14    5.80988e+16
           31.8    3.31779e+18    3.46013e+14    5.80009e+16
           31.9    3.49661e+18    3.46927e+14    5.79031e+16
             32    3.68473e+18    3.47839e+14    5.78055e+16
           32.1    3.88261e+18    3.48749e+14     5.7708e+16
           32.2    4.09075e+18    3.49656e+14    5.76106e+16
           32.3    4.30965e+18    3.50561e+14    5.75133e+16
           32.4    4.53985e+18    3.51464e+14    5.74162e+16
           32.5    4.78191e+18    3.52365e+14    5.73192e+16
           32.6    5.03643e+18    3.53264e+14    5.72224e+16
           32.7    5.30402e+18     3.5416e+14    5.71256e+16
           32.8    5.58533e+18    3.55055e+14    5.70291e+16
           32.9    5.88104e+18    3.55947e+14    5.69326e+16
             33    6.19185e+18    3.56837e+14    5.68363e+16
           33.1    6.51852e+18    3.57724e+14    5.67401e+16
           33.2    6.86181e+18     3.5861e+14    5.66441e+16
           33.3    7.22256e+18    3.59493e+14    5.65482e+16
           33.4    7.60161e+18    3.60374e+14    5.64525e+16
           33.5    7.99986e+18    3.61253e+14    5.63569e+16
           33.6    8.41824e+18     3.6213e+14    5.62615e+16
           33.7    8.85775e+18    3.63005e+14    5.61661e+16
           33.8    9.31941e+18    3.63878e+14     5.6071e+16
           33.9    9.80429e+18    3.64748e+14     5.5976e+16
             34    1.03135e+19    3.65616e+14    5.58811e+16
           34.1    1.08483e+19    3.66483e+14    5.57864e+16
           34.2    1.14098e+19    3.67347e+14    5.56918e+16
           34.3    1.19994e+19    3.68209e+14    5.55974e+16
           34.4    1.26184e+19    3.69068e+14    5.55031e+16
           34.5    1.32683e+19    3.69926e+14     5.5409e+16
           34.6    1.39504e+19    3.70782e+14     5.5315e+16
           34.7    1.46664e+19    3.71635e+14    5.52212e+16
           34.8    1.54179e+19    3.72487e+14    5.51275e+16
           34.9    1.62066e+19    3.73336e+14     5.5034e+16
             35    1.70342e+19    3.74183e+14    5.49406e+16
           35.1    1.79026e+19    3.75028e+14    5.48474e+16
           35.2    1.88138e+19    3.75871e+14    5.47543e+16
           35.3    1.97698e+19    3.76712e+14    5.46614e+16
           35.4    2.07727e+19    3.77551e+14    5.45686e+16
           35.5    2.18247e+19    3.78388e+14     5.4476e+16
           35.6    2.29282e+19    3.79223e+14    5.43836e+16
           35.7    2.40855e+19    3.80056e+14    5.42913e+16
           35.8    2.52993e+19    3.80887e+14    5.41992e+16
           35.9    2.65722e+19    3.81715e+14    5.41072e+16
             36    2.79069e+19    3.82542e+14    5.40154e+16
           36.1    2.93063e+19    3.83367e+14    5.39237e+16
           36.2    3.07736e+19    3.84189e+14    5.38322e+16
           36.3    3.23118e+19     3.8501e+14    5.37409e+16
           36.4    3.39243e+19    3.85828e+14    5.36497e+16
           36.5    3.56145e+19    3.86645e+14    5.35587e+16
           36.6    3.73861e+19    3.87459e+14    5.34678e+16
           36.7    3.92428e+19    3.88272e+14    5.33771e+16
           36.8    4.11886e+19    3.89083e+14    5.32865e+16
           36.9    4.32276e+19    3.89891e+14    5.31961e+16
             37    4.53641e+19    3.90698e+14    5.31059e+16
           37.1    4.76026e+19    3.91502e+14    5.30159e+16
           37.2    4.99479e+19    3.92305e+14    5.29259e+16
           37.3    5.24048e+19    3.93105e+14    5.28362e+16
           37.4    5.49784e+19    3.93904e+14    5.27466e+16
           37.5    5.76742e+19    3.94701e+14    5.26572e+16
           37.6    6.04978e+19    3.95496e+14    5.25679e+16
           37.7    6.34549e+19    3.96288e+14    5.24788e+16
           37.8    6.65517e+19    3.97079e+14    5.23899e+16
           37.9    6.97945e+19    3.97868e+14    5.23011e+16
             38    7.31901e+19    3.98655e+14    5.22125e+16
           38.1    7.67452e+19     3.9944e+14     5.2124e+16
           38.2    8.04673e+19    4.00223e+14    5.20358e+16
           38.3    8.43639e+19    4.01004e+14    5.19476e+16
           38.4    8.84428e+19    4.01784e+14    5.18597e+16
           38.5    9.27123e+19    4.02561e+14    5.17719e+16
           38.6     9.7181e+19    4.03336e+14    5.16842e+16
           38.7    1.01858e+20     4.0411e+14    5.15968e+16
           38.8    1.06752e+20    4.04881e+14    5.15095e+16
           38.9    1.11874e+20    4.05651e+14    5.14223e+16
             39    1.17234e+20    4.06419e+14    5.13353e+16
           39.1    1.22841e+20    4.07185e+14    5.12485e+16
           39.2    1.28708e+20    4.07949e+14    5.11619e+16
           39.3    1.34846e+20    4.08711e+14    5.10754e+16
           39.4    1.41266e+20    4.09471e+14     5.0989e+16
           39.5    1.47982e+20     4.1023e+14    5.09029e+16
           39.6    1.55007e+20    4.10986e+14    5.08169e+16
           39.7    1.62354e+20    4.11741e+14     5.0731e+16
           39.8    1.70038e+20    4.12494e+14    5.06454e+16
           39.9    1.78074e+20    4.13245e+14    5.05599e+16
             40    1.86477e+20    4.13994e+14    5.04745e+16
           40.1    1.95263e+20    4.14741e+14    5.03893e+16
           40.2    2.04449e+20    4.15487e+14    5.03043e+16
           40.3    2.14053e+20    4.16231e+14    5.02195e+16
           40.4    2.24094e+20    4.16972e+14    5.01348e+16
           40.5     2.3459e+20    4.17712e+14    5.00503e+16
           40.6    2.45561e+20    4.18451e+14    4.99659e+16
           40.7    2.57029e+20    4.19187e+14    4.98817e+16
           40.8    2.69014e+20    4.19922e+14    4.97977e+16
           40.9     2.8154e+20    4.20654e+14    4.97138e+16
             41     2.9463e+20    4.21385e+14    4.96301e+16
           41.1    3.08308e+20    4.22114e+14    4.95466e+16
           41.2    3.22601e+20    4.22842e+14    4.94632e+16
           41.3    3.37534e+20    4.23567e+14      4.938e+16
           41.4    3.53136e+20    4.24291e+14     4.9297e+16
           41.5    3.69436e+20    4.25013e+14    4.92141e+16
           41.6    3.86463e+20    4.25734e+14    4.91314e+16
           41.7     4.0425e+20    4.26452e+14    4.90488e+16
           41.8    4.22828e+20    4.27169e+14    4.89664e+16
           41.9    4.42231e+20    4.27884e+14    4.88842e+16
             42    4.62497e+20    4.28597e+14    4.88021e+16
           42.1     4.8366e+20    4.29309e+14    4.87202e+16
           42.2    5.05761e+20    4.30018e+14    4.86385e+16
           42.3    5.28838e+20    4.30726e+14    4.85569e+16
           42.4    5.52934e+20    4.31433e+14    4.84755e+16
           42.5    5.78092e+20    4.32137e+14    4.83942e+16
           42.6    6.04357e+20     4.3284e+14    4.83131e+16
           42.7    6.31777e+20    4.33541e+14    4.82322e+16
           42.8    6.60401e+20     4.3424e+14    4.81514e+16
           42.9    6.90279e+20    4.34938e+14    4.80708e+16
             43    7.21465e+20    4.35634e+14    4.79904e+16
           43.1    7.54014e+20    4.36328e+14    4.79101e+16
           43.2    7.87984e+20    4.37021e+14      4.783e+16
           43.3    8.23435e+20    4.37711e+14      4.775e+16
           43.4    8.60429e+20    4.38401e+14    4.76702e+16
