name,smiles,mult
H,[H],2
H2,[H][H],1
OH,[OH],2
H2O,O,1
OOH,O[O],2
H2O2,OO,1
CH3,[CH3],2
O,[O],3
CH4,C,1
C2H6,CC,1
C2H5,C[CH2],2
C2H4,C=C,1
C2H3,C=[CH],2
C2H2,C#C,1
CCH,C#[C],2
CH3OH,CO,1
CH2OH,[CH2]O,2
CH3O,C[O],2
OCHOH,OC=O,1
OCHO,O=C[O],2
HOCO,O[C]=O,2
CH3OCH3,COC,1
CH3OCH2,CO[CH2],2
H2CO,C=O,1
HCO,O=[CH],2
H2S,S,1
HS,[SH],2
NH3,N,1
NH2,[NH2],2
CH3CL,CCl,1
CH2CL,[CH2]Cl,2

