! This thermodynamic database was obtained by fitting the thermodynamic properties
! extracted from the following file: C3Mech.THERM
! The thermodynamic properties are fitted in order to preserve not only the 
! continuity of each function at the intermediate temperature, but also the  continuity
! of the derivatives, from the 1st to the 3rd order
! The intermediate temperatures are chosen in order to minimize the fitting error.
! Last update: 7/18/2025

THERMO ALL
270.   1000.   3500. 
HE                      HE  1               G    200.00   3500.00 1800.00      1
-5.80142064e-10 2.69961963e-13-7.59432466e+03-1.63631383e+00                   4
N2                      N   2               G    200.00   3500.00 1060.00      1
 2.79412339e+00 1.71323706e-03-7.14449457e-07 1.44130790e-10-1.15535608e-14    2
-8.64466984e+02 6.74115195e+00 3.72803242e+00-1.81094796e-03 4.27260482e-06    3
-2.99238133e-09 7.28189864e-13-1.06245570e+03 2.18116287e+00                   4
O2CHO                   H   1O   3C   1     G    300.00   3500.00 1800.00      1
 5.04076052e+00 8.66636048e-03-4.28941250e-06 1.00557772e-09-9.13536310e-14    2
-1.77902394e+04 5.78147262e+00 3.79301693e+00 1.14391240e-02-6.60004877e-06    3
 1.86136893e-09-2.10213521e-13-1.73410517e+04 1.25345212e+01                   4
HO2CHO                  H   2O   3C   1     G    300.00   3500.00 1750.00      1
 1.00230825e+01 4.43559489e-03-1.56185338e-06 2.43413972e-10-1.38379570e-14    2
-3.81313380e+04-2.33591553e+01 2.47434345e+00 2.16898555e-02-1.63512196e-05    3
 5.87745825e-09-8.18701426e-13-3.54892793e+04 1.72835404e+01                   4
CH3O2                   H   3O   2C   1     G    200.00   3500.00  700.00      1
 1.51723415e+00 1.76674624e-02-9.84929054e-06 2.60659489e-09-2.64281652e-13    2
 3.75455735e+02 1.88916567e+01 4.28668616e+00 1.84202235e-03 2.40623667e-05    3
-2.96902216e-08 1.12702957e-11-1.22675469e+01 6.51844574e+00                   4
CH3O2H                  H   4O   2C   1     G    200.00   3500.00 1800.00      1
 4.61779522e+00 1.50689246e-02-7.54849398e-06 1.83940403e-09-1.76299191e-13    2
-1.76892203e+04 1.76110726e+00 2.20256639e+00 2.04360997e-02-1.20211400e-05    3
 3.49593957e-09-4.06373572e-13-1.68197380e+04 1.48328295e+01                   4
CH2                     H   2C   1          G    200.00   3500.00 1800.00      1
 3.04755967e+00 3.10839345e-03-9.85608073e-07 1.34229668e-10-5.81835992e-15    2
 4.61140251e+04 5.34140912e+00 3.71172317e+00 1.63247456e-03 2.44324331e-07    3
-3.21300852e-10 5.74497679e-14 4.58749262e+04 1.74681772e+00                   4
CH2(S)                  H   2C   1          G    200.00   3500.00  970.00      1
 2.76031011e+00 3.65214867e-03-1.35385904e-06 2.74327472e-10-2.36067736e-14    2
 5.06426735e+04 6.11149375e+00 4.18176801e+00-2.20953336e-03 7.71059772e-06    3
-5.95553972e-09 1.58202910e-12 5.03669106e+04-7.02922431e-01                   4
AR                      AR  1               G    200.00   3500.00 1800.00      1
 2.50000000e+00-1.78292665e-14 1.25943173e-17-3.75422240e-21 4.01442759e-25    2
-7.45375000e+02 4.37967491e+00 2.50000000e+00 3.60589866e-15-5.26832035e-18    3
 2.86156931e-21-5.17417201e-25-7.45375000e+02 4.37967491e+00                   4
